100 4950
306 95 4
3734 24 34
3957 98 20
4547 77 51
1667 70 46
735 66 47
3797 1 38
2329 28 72
1947 6 79
2719 22 41
4554 51 79
2450 74 84
1948 38 82
1728 36 20
4498 97 49
1818 75 42
1208 29 32
207 69 3
3671 2 83
881 52 35
4654 8 25
2084 56 40
3341 25 92
2783 24 97
4963 18 80
1441 78 2
34 67 68
115 3 26
220 64 68
4229 42 35
3780 63 5
2837 6 39
438 63 15
2695 72 50
2122 18 15
1053 64 19
1871 79 55
4503 69 24
160 20 39
2022 43 50
1060 83 99
3614 77 89
775 15 20
4608 2 53
2949 22 71
2266 11 75
2044 23 20
3550 52 32
182 18 88
2701 55 38
3891 47 44
4626 38 74
1685 28 47
4608 69 13
2755 18 7
443 14 18
1234 24 67
2550 77 26
2208 30 98
2694 12 83
836 18 50
3145 63 56
4057 68 81
4186 23 47
2448 60 25
1514 60 65
2916 36 67
4762 26 78
2233 28 87
838 90 59
4217 34 83
1997 56 10
2684 56 43
1934 99 48
2912 28 15
2059 56 44
4831 59 65
3010 71 33
4069 19 84
3753 75 82
2877 70 51
3022 78 4
1605 85 3
2822 93 84
3297 63 39
2093 90 30
4742 11 8
2390 97 18
3561 15 26
1304 18 12
2442 72 49
1756 57 58
3652 71 31
979 15 53
4773 90 3
2417 71 20
2166 12 3
1478 51 88
3972 2 19
1932 76 91
4540 98 34
4859 82 77
4952 54 23
4626 54 9
4509 7 28
168 44 2
479 45 40
1849 42 1
638 54 32
3286 15 94
1164 50 66
3454 22 90
3670 78 96
2290 53 58
4911 63 68
4135 39 34
1089 80 41
2620 64 37
1040 80 47
1918 77 75
2807 39 87
2905 45 48
2095 90 10
1148 97 13
3471 87 63
3679 46 34
4639 59 40
3023 28 75
4221 33 18
1262 95 21
2322 31 70
3677 55 30
1517 21 71
1348 27 24
302 86 39
2500 69 90
2103 8 68
3894 73 45
2048 66 24
4359 68 72
1860 25 96
3876 85 92
2935 28 26
2022 35 41
1617 34 53
819 46 7
4597 48 67
4011 37 36
1048 29 79
209 63 74
2317 60 27
2567 32 2
1881 41 2
2462 87 4
1019 12 47
1401 82 89
3359 87 90
3487 54 20
3461 40 64
2771 90 55
388 10 36
869 68 62
1158 7 6
1419 10 25
1951 98 64
3711 21 11
329 17 5
3617 56 82
3619 56 30
3007 74 45
364 22 36
3568 83 90
1703 51 41
1020 14 95
4010 30 52
4364 62 83
4587 51 26
2080 44 50
4136 73 17
1573 4 32
1183 3 21
4009 58 89
459 60 76
1882 81 99
3935 76 100
2778 64 80
3772 74 91
2016 83 80
4625 8 69
3014 43 83
1082 70 16
4458 64 79
4051 29 53
3642 84 71
3385 54 79
1878 61 22
3064 2 13
1588 62 56
2195 62 81
3043 76 89
1102 4 64
393 63 91
2242 75 76
2265 19 73
179 59 94
1939 41 100
191 15 40
2900 36 14
4053 39 22
1827 2 15
2275 93 32
4393 21 58
2008 73 13
2267 91 24
1666 62 5
1299 50 47
4140 94 23
4107 50 71
568 54 43
339 15 90
3639 66 89
3354 67 88
4699 96 37
2704 15 98
2411 47 9
2374 46 71
4440 17 52
1468 47 89
3349 12 20
2448 83 93
4212 51 39
762 76 35
4531 61 84
1635 68 61
37 6 55
463 65 4
609 51 7
1496 49 55
1862 85 33
1441 78 21
3798 46 60
1033 6 52
1004 69 11
2612 27 31
4544 62 24
4389 70 10
4629 22 46
4092 24 43
2092 5 98
2380 83 76
2030 14 6
3109 1 24
4439 56 29
4523 45 9
2520 58 36
3997 44 48
2898 76 7
1271 30 13
1569 44 49
1195 50 38
1822 12 25
4655 34 10
2990 3 22
1277 12 99
740 79 34
1910 4 69
3737 3 23
1771 72 16
581 91 55
4634 63 64
4146 73 53
2760 30 89
3467 100 92
2610 40 22
1992 85 20
3045 53 16
486 98 94
435 84 7
1029 95 49
2199 100 71
86 59 22
881 19 21
703 82 98
4608 34 51
3086 71 13
3525 71 23
3878 34 4
999 55 64
1151 87 41
4928 73 35
2475 9 8
2556 7 72
1587 40 67
62 32 55
1868 72 45
4276 12 14
2944 50 13
4144 56 51
1462 28 25
2289 65 99
4373 53 97
2048 38 59
2861 100 1
1671 91 11
1294 17 58
4453 70 38
2349 50 76
2942 8 34
4674 66 77
155 99 69
1505 86 54
1075 47 100
3469 66 74
1332 13 78
3939 59 42
2526 20 19
4128 62 43
3790 16 50
1310 3 49
2400 69 27
3138 58 52
2038 56 18
264 19 82
1556 84 52
3832 82 72
2899 75 66
3154 99 59
626 84 89
3540 13 95
4614 61 6
3166 10 21
4382 53 74
3920 66 49
2710 51 14
2719 92 4
434 32 84
876 37 61
2707 6 9
2798 38 42
1896 58 93
4884 23 19
2152 64 91
3349 88 20
6 22 29
4857 69 59
2243 89 59
2052 35 25
1365 40 27
2729 61 92
1327 7 99
1650 70 55
3919 80 17
3730 77 92
2841 39 83
3772 53 28
2957 25 65
3012 94 78
1022 3 1
2553 15 33
2893 63 100
1735 99 37
4791 80 91
1329 39 23
1620 22 81
2488 36 50
4567 28 1
1790 43 25
4854 56 65
2902 96 23
1385 97 94
1777 85 18
3006 73 44
4329 69 85
4432 10 23
474 32 75
3801 87 23
3686 43 42
752 15 60
227 21 75
1358 7 42
214 87 78
1882 100 62
3706 14 73
163 14 100
1956 76 85
132 52 37
1308 27 26
2448 62 7
3932 89 64
4890 37 15
3091 46 63
4135 78 8
307 48 70
1772 38 20
1906 34 1
3329 14 66
1897 21 38
2333 75 78
2225 66 96
3916 51 85
2985 36 77
3310 24 17
4560 58 44
1544 14 76
116 5 44
3382 73 22
2604 4 93
1035 66 63
3248 85 49
3891 14 99
4936 3 10
623 94 47
1029 73 54
42 17 33
354 49 65
3204 71 79
1980 70 43
4341 74 10
1937 95 50
4730 54 77
995 44 38
1411 63 7
1413 64 22
3501 3 38
4310 66 94
423 11 7
1751 84 94
3738 74 40
3004 95 66
2587 65 68
1494 45 42
4673 3 55
2946 2 69
1679 80 60
2370 30 87
3389 10 8
1875 89 91
3654 54 67
894 11 58
2692 7 70
2852 37 86
514 62 99
439 72 64
4695 14 20
3187 24 20
3375 7 29
4935 79 85
719 99 55
3327 44 66
3209 9 57
2024 39 60
869 47 43
3024 51 100
1449 89 16
3942 46 10
2864 36 97
4524 79 59
3791 33 24
4339 23 86
3973 20 25
4308 61 19
2834 56 97
532 92 8
2350 45 95
3817 11 51
500 79 68
1718 20 29
4476 2 75
1741 71 19
750 4 76
731 28 81
1622 86 79
4541 47 27
1174 4 39
62 34 37
3384 94 93
3971 10 61
4510 25 33
1038 45 8
2369 38 26
478 22 8
2626 75 3
4679 3 89
2936 20 69
3564 50 12
1251 82 93
4849 100 17
902 4 23
3288 37 56
4697 42 41
1747 89 99
4873 6 29
4567 85 75
2976 85 42
4635 69 58
3933 54 7
4372 24 87
3288 95 88
1020 64 77
4399 70 9
3376 24 88
3488 27 17
687 35 17
3046 69 81
233 86 89
4073 92 47
139 73 65
4321 25 29
1251 83 51
2100 62 91
3068 1 18
1136 16 97
3798 84 39
3344 45 92
4800 73 83
2294 43 19
572 89 40
4266 84 11
1903 47 59
374 39 27
2347 5 58
731 32 80
4798 33 75
897 38 94
2268 21 69
2328 46 32
1248 57 15
1575 90 46
4824 72 63
150 48 56
3823 18 3
832 93 38
167 88 87
3608 8 7
3373 95 2
3272 44 100
2964 98 49
2997 100 97
2320 78 15
4548 26 6
4954 92 19
2660 45 49
4056 71 27
4088 83 13
3563 98 16
4048 38 63
1109 31 78
184 10 16
381 30 9
2325 36 30
4686 12 37
2086 66 12
1569 90 65
2437 54 71
1096 100 65
2222 37 94
1133 76 17
2634 100 72
547 93 44
489 79 100
3716 55 11
2849 79 36
2914 19 37
209 18 59
4380 68 87
3313 36 87
2333 17 51
159 30 86
2187 22 38
2486 29 67
3378 24 37
2222 23 45
4107 79 14
186 90 36
2571 73 70
1059 99 53
807 21 83
399 80 48
2547 10 30
3947 100 3
1649 2 20
2804 17 41
3506 71 98
4233 72 20
3413 42 11
4474 4 80
127 32 56
2889 39 15
926 3 88
2927 37 1
2265 92 22
3447 32 33
2159 55 76
3505 50 65
109 8 82
2102 4 55
397 31 62
3910 100 39
2415 67 55
1861 94 63
3439 6 24
2583 78 72
1331 14 74
4072 56 88
1532 97 98
2775 82 96
274 47 68
2546 53 59
1197 64 74
2527 91 20
580 38 45
3197 25 27
1962 58 15
4065 22 65
3714 84 99
1551 29 15
3433 88 80
1858 7 98
997 19 83
1433 65 1
4922 88 81
3655 39 13
1988 99 3
4558 58 74
3487 60 57
3868 76 62
2050 21 40
3346 58 84
1552 7 26
912 32 91
392 97 74
673 69 31
3875 14 39
85 4 15
761 9 73
594 20 10
2744 58 64
740 81 23
4667 52 72
4312 71 68
3164 96 89
4802 94 7
2738 49 41
1205 78 38
4482 100 4
1459 46 12
1577 55 48
4763 4 36
3131 14 96
1613 27 19
994 42 39
892 47 54
3356 65 35
3592 17 20
308 17 74
363 2 100
2403 54 91
2935 42 60
2510 28 14
4628 41 78
39 62 33
1307 68 32
130 88 47
4343 93 50
4464 52 43
4046 32 87
4843 7 34
1976 53 24
1125 35 31
3932 95 57
859 74 33
1594 55 85
1173 52 79
2232 29 74
2342 8 17
569 85 65
682 95 5
1718 45 54
1832 52 15
4507 52 73
814 98 73
414 30 1
4743 35 47
2939 25 68
2844 33 21
1786 49 38
2893 4 82
3634 52 59
1174 19 12
1403 13 8
4016 54 12
1504 24 42
575 64 45
426 2 42
2027 89 44
3638 33 84
897 78 89
3186 94 36
4443 57 20
3275 19 57
2581 42 31
2757 32 57
344 49 78
3307 66 57
1029 84 2
4951 5 36
2830 66 36
2692 95 56
2479 32 65
1618 6 8
4285 4 68
2622 98 22
298 59 75
2997 59 4
3394 41 92
1435 93 25
704 7 32
4324 53 17
690 17 18
2372 37 48
1488 31 30
2782 81 73
688 97 3
745 5 20
1353 55 28
2667 90 99
4898 2 63
4283 14 48
453 5 45
1759 86 11
4320 41 5
3052 51 78
1979 26 61
1764 45 14
2602 91 65
1662 29 83
1384 19 14
3777 33 19
1644 7 61
3447 73 23
4295 30 8
467 95 39
718 8 72
1423 15 72
1449 81 42
3677 36 60
2045 20 16
2059 1 36
1983 24 45
1205 42 96
1341 77 27
3117 46 15
753 5 67
4903 18 92
479 34 78
3518 22 74
3059 91 84
3492 87 3
119 90 75
3264 63 33
4284 44 24
3274 88 7
948 28 17
4024 49 60
321 64 44
4946 4 1
456 22 30
4507 17 29
489 31 99
4190 33 45
1880 29 48
217 70 100
951 45 58
156 52 85
1920 27 84
2729 19 24
2710 10 1
1459 57 28
2367 46 75
3095 15 83
4481 45 83
2381 85 70
3818 98 12
114 27 5
1409 14 58
3198 85 88
2715 92 60
4792 41 12
4639 81 52
2609 82 35
3563 84 23
3465 91 88
3629 72 38
3887 1 52
2947 18 98
4771 35 33
2761 53 51
3366 38 88
3723 27 46
4037 62 92
805 58 60
3390 74 50
240 7 95
416 96 58
4243 95 52
1299 86 62
4104 50 33
4518 68 69
4685 51 21
246 74 57
3788 79 38
1358 3 44
1361 3 41
3816 45 77
2633 97 81
2663 80 15
2945 73 56
4092 4 41
3920 12 34
809 55 18
1129 40 60
3326 33 26
1421 77 16
3158 14 60
3059 57 62
1629 75 63
2605 10 76
1065 47 20
4643 99 68
2072 71 32
1601 73 18
3446 25 85
3275 18 78
510 77 37
3035 92 94
2864 20 67
1605 90 52
1292 71 51
803 55 51
4428 59 61
639 22 49
1718 39 98
358 10 9
1597 18 84
79 100 88
1233 13 94
4772 97 87
1776 32 19
1434 3 51
901 50 63
3949 72 13
506 18 40
4410 38 27
1273 97 64
1604 45 86
369 23 60
1975 25 95
606 87 50
2378 97 72
1250 45 60
13 19 99
1896 40 49
757 30 42
1267 91 71
858 37 100
1189 66 48
4627 90 96
1788 69 76
4730 93 52
3306 24 40
1319 75 73
3098 57 85
1827 31 44
996 91 59
3186 56 55
1530 70 17
4875 48 47
4722 87 33
3089 67 86
911 58 80
2908 38 11
4592 91 18
3194 83 38
1415 93 45
556 42 6
3774 11 64
1119 23 48
2982 54 21
4235 48 33
1520 19 29
3688 45 12
4948 58 79
3756 33 91
3343 64 26
1785 9 21
3113 88 48
387 10 26
4575 22 63
3490 79 45
696 66 87
1262 79 60
4011 53 95
3969 22 95
607 60 84
4562 72 59
3624 49 29
1917 11 81
340 64 67
419 29 80
2834 57 76
1021 25 22
2097 8 32
205 94 41
1222 66 19
4423 91 90
3837 51 24
793 56 72
4184 71 96
4509 10 44
1511 14 77
502 6 44
4041 15 6
826 68 58
3434 82 90
2318 74 35
520 2 77
4035 34 61
3072 25 15
63 41 29
2188 58 94
1582 65 80
302 47 15
4003 87 85
365 91 5
88 13 66
4527 10 60
2342 39 37
2450 9 94
2860 59 25
1507 73 16
1117 8 27
4489 37 14
3354 8 29
726 6 73
31 25 16
4231 38 19
4798 64 18
1472 23 69
1060 48 76
1770 43 100
23 56 50
3374 4 62
3865 30 37
2303 12 55
668 80 13
2069 39 65
1810 92 50
4146 94 86
1309 35 24
598 67 10
2238 66 86
484 70 13
316 82 53
1362 21 29
1798 31 96
861 70 94
1405 40 46
1179 28 8
271 19 97
4165 3 84
1729 55 53
647 68 21
1857 57 63
1351 72 90
84 78 22
207 64 71
3907 25 63
907 48 13
2696 59 78
709 65 63
4332 25 37
3776 6 19
2420 2 85
2781 8 64
3410 48 31
2677 48 84
389 67 1
1274 69 12
2154 55 10
2491 58 82
981 45 68
2454 70 34
677 68 77
2922 46 26
1464 13 38
1552 99 96
3024 18 79
1026 56 68
1990 62 71
1368 69 37
2279 83 11
222 6 92
4434 100 21
3852 14 9
4046 69 17
3398 65 24
858 42 83
1234 78 90
3676 19 26
25 10 86
2472 85 64
1175 39 5
1336 55 72
897 52 78
4193 8 31
4257 22 82
1558 92 9
3704 61 47
832 4 29
2698 73 11
2511 75 94
2661 62 49
133 26 57
2476 25 5
3445 26 4
3960 36 100
1675 89 80
1521 72 19
3775 50 1
3404 39 40
1160 49 24
600 58 33
2169 67 21
1441 23 64
2279 22 17
3402 75 44
4371 23 8
4448 16 96
733 87 93
2259 57 65
33 65 29
822 33 73
2641 33 14
121 11 37
730 56 77
1856 35 13
3846 88 63
3315 77 94
427 89 74
1135 76 74
1651 11 33
4184 45 57
1313 98 89
916 86 57
1659 100 11
4009 53 85
2818 78 61
3831 67 51
2531 54 30
3362 81 4
3868 5 59
4188 16 30
1176 70 29
4879 8 19
2778 90 11
3818 19 74
3930 45 88
4886 100 34
4235 54 85
3791 52 86
256 36 26
4227 18 38
1967 57 6
1353 44 91
4363 14 41
3938 55 20
4522 58 66
747 19 16
1920 7 86
3836 33 69
348 72 11
3576 78 97
3799 6 77
2074 78 93
1103 19 88
2353 74 90
4346 49 86
1798 20 35
2043 80 20
4077 43 60
1233 2 38
2540 19 85
2608 48 38
62 36 38
2702 29 94
1135 39 54
287 47 41
500 94 16
4709 5 72
1565 22 96
2276 79 32
2561 61 28
4631 35 99
2128 47 13
600 73 68
2380 20 87
614 37 6
3136 76 71
1076 70 21
279 14 67
4252 23 21
3584 81 60
2162 79 47
3521 3 48
4017 93 96
1557 44 88
3144 14 84
2443 99 45
1006 73 76
1764 63 79
257 33 83
1069 58 4
4350 92 66
2333 87 53
4078 39 94
3279 24 32
2819 58 70
3945 93 28
767 37 63
1554 34 41
397 20 65
4904 27 30
2208 25 99
1591 54 40
460 84 63
3899 29 51
2940 96 61
829 83 5
2349 6 87
180 38 87
45 27 10
606 6 25
2254 79 49
611 30 60
2854 72 61
4640 51 61
3031 93 90
1328 64 59
4728 67 91
188 72 88
2459 95 75
2869 52 55
522 56 46
2342 64 62
1405 2 12
388 24 54
2779 6 66
2545 1 2
881 9 27
4595 95 54
1645 73 24
1002 29 30
895 46 28
3483 20 22
2019 39 97
2643 42 17
2541 93 14
4449 50 11
3928 88 61
3407 68 55
48 17 61
2025 6 91
1967 23 58
641 97 27
1123 12 85
69 93 46
581 94 64
3712 18 54
1462 58 65
4584 37 59
1599 65 43
4757 43 32
1454 59 51
4365 34 93
2901 4 11
419 69 18
197 54 100
96 78 74
4254 64 100
2303 40 97
4228 31 67
918 47 49
2257 39 49
1488 61 65
2024 5 54
518 5 53
2301 70 45
1705 94 34
2289 48 9
2439 61 45
2086 84 65
1873 11 39
146 91 79
1254 91 4
3757 95 44
643 9 40
2497 61 91
4878 3 15
2295 85 43
1087 23 74
3290 33 46
4014 87 19
2090 2 18
496 38 62
390 82 83
4069 39 82
3576 26 76
934 67 11
3670 82 14
2862 5 77
1719 13 10
1197 27 29
3496 43 53
4413 36 12
1185 1 11
4667 37 45
2977 76 2
3963 58 26
4561 18 4
1960 79 88
1608 12 63
2808 41 15
3151 58 38
4485 65 30
1672 7 47
2588 67 23
1577 22 55
539 67 45
4739 93 18
85 84 35
1744 8 26
1539 25 7
3481 69 28
694 98 44
4743 47 85
814 3 46
1440 73 66
3525 96 36
3848 52 4
1292 43 66
4357 73 77
471 98 33
2051 11 88
1515 100 9
574 88 40
2697 22 43
2293 31 18
664 49 43
3346 26 53
2841 62 40
3410 94 100
1002 3 43
2616 88 33
4763 72 35
2803 99 32
1885 17 97
4644 30 14
2174 23 44
335 70 30
808 20 60
1607 95 72
95 31 57
2345 1 82
4634 82 79
3234 85 35
275 36 82
4116 11 13
3313 68 70
342 82 91
980 42 78
3337 5 37
3206 96 28
1662 36 98
385 42 52
2867 15 88
169 94 73
2467 93 9
1630 97 4
4279 50 75
234 99 33
4067 34 68
14 98 79
2757 32 92
3666 15 73
2610 17 66
4828 56 67
3832 74 86
193 91 21
3852 1 99
2899 41 85
1202 13 90
3202 63 11
402 67 18
2798 71 53
154 84 51
1325 74 46
2238 66 34
3024 33 3
4915 52 64
4738 53 50
4641 42 67
1945 89 92
4210 29 77
2612 80 45
318 2 73
1844 42 91
2015 81 75
3827 35 3
3034 48 22
2767 13 42
4311 3 5
1171 100 82
68 77 49
4025 10 28
2757 58 88
1648 67 17
1789 67 98
4739 81 24
3006 82 52
1342 70 60
2825 77 28
4083 45 47
2469 47 65
2522 43 37
2951 16 51
3767 60 64
4504 87 55
3930 41 65
3327 9 3
3031 38 61
3010 51 36
4503 33 41
3264 47 29
4548 90 67
4322 58 39
1377 5 31
2311 75 93
1725 18 94
1831 20 56
1567 11 57
673 29 58
1095 9 38
4753 72 66
3954 76 44
3899 16 75
129 100 87
1142 12 29
112 61 52
303 90 66
2854 1 8
129 34 9
3717 68 41
2809 79 81
3386 28 98
3978 9 85
2655 38 23
1553 33 1
2701 84 98
595 37 70
766 60 72
2314 80 75
3373 34 52
3290 33 54
4192 38 12
2331 85 46
4718 85 98
3761 22 80
4198 49 75
679 92 57
1525 63 70
1113 96 94
3443 95 97
1882 93 36
25 94 42
639 2 86
2621 56 53
254 54 75
2677 26 56
645 17 23
4873 81 49
832 82 10
4154 93 47
985 78 16
1939 77 93
316 99 6
975 32 62
3618 75 30
2648 2 52
1377 21 46
1107 37 84
2141 34 82
693 34 65
903 95 60
4228 67 50
3664 76 3
241 63 30
4870 16 67
9 100 75
4234 78 20
2184 48 25
1654 40 29
3308 31 94
124 30 93
1428 96 98
695 26 23
4035 66 21
14 71 3
175 40 92
1451 21 90
3447 91 92
2570 86 61
4223 85 99
4589 43 44
1819 19 35
80 84 83
4115 32 25
2385 38 97
4476 89 42
4162 34 72
4671 58 9
616 79 41
293 67 25
4498 29 28
2144 72 3
4048 77 91
2647 82 43
1738 43 40
3209 36 44
2020 74 93
4698 12 97
2724 66 22
825 57 79
3654 37 89
3889 9 29
3455 7 33
1634 99 58
4803 40 13
2678 37 81
670 20 32
4590 2 92
3856 3 6
3964 72 47
3784 63 27
3538 28 100
4972 48 73
482 25 55
4664 70 95
264 12 21
4147 86 87
2144 35 10
2702 16 55
148 67 43
4370 39 18
3782 56 91
1150 59 97
3340 89 20
2232 31 52
2009 1 98
3692 49 23
2237 46 50
3328 82 26
169 29 86
229 46 55
3679 29 37
226 1 83
775 39 35
4731 9 7
3726 34 48
671 95 31
4701 86 53
3321 100 48
3021 89 52
630 7 64
2126 20 13
876 75 1
2470 61 67
1742 39 10
821 80 8
1595 63 55
3245 61 90
3010 52 56
950 56 39
594 86 93
2381 48 41
843 98 40
3644 70 67
1153 79 28
1994 69 78
4380 81 85
572 89 71
1907 65 89
1592 88 5
2512 15 17
1929 6 34
2246 41 73
3530 78 36
2116 18 74
1897 74 60
409 9 89
4313 82 20
341 24 15
1779 22 26
2867 64 92
4061 63 83
2143 84 56
4079 50 5
636 55 44
171 92 93
3876 7 79
3499 10 48
1571 44 26
2172 41 43
2674 95 26
825 68 33
3888 74 41
466 87 5
4430 14 52
2376 66 33
4391 89 7
2507 55 8
1341 6 58
2762 28 21
203 61 79
1806 47 6
680 56 94
321 29 96
1084 6 40
4635 75 14
2553 69 40
1161 11 41
4468 58 24
917 30 76
4071 35 88
1813 38 14
4095 47 5
2505 69 46
4522 98 9
189 75 53
2706 40 85
2009 23 99
3312 44 17
1075 96 91
4409 54 94
4636 28 86
2741 77 100
2097 65 78
4965 88 75
1614 74 6
1188 90 86
565 91 57
4422 28 3
3231 46 36
1257 56 6
2719 45 32
4666 96 67
1895 49 15
4839 27 43
2554 30 85
26 1 53
1108 28 54
3393 57 39
385 73 90
2540 19 39
4880 23 46
2908 73 97
4723 27 49
2731 97 63
1650 45 21
3555 63 4
2159 37 18
1581 58 61
4859 87 8
1046 100 40
595 27 82
395 91 97
3864 58 28
4544 52 97
2142 58 76
803 83 4
3270 2 14
72 2 70
3738 12 26
2811 22 13
1767 24 16
4534 2 49
2640 3 54
3610 6 43
4717 54 15
2398 36 13
663 18 8
2195 1 64
1114 46 96
3532 64 10
1640 100 98
2770 33 8
1863 55 5
1182 83 10
2817 84 57
42 59 26
2766 98 8
3260 23 90
3675 42 20
1279 91 68
2915 40 12
367 62 96
3093 66 45
2592 2 35
19 26 1
2831 34 88
3692 62 12
767 86 20
973 76 84
4774 40 14
1739 82 41
769 34 32
2389 50 59
387 69 44
1409 70 32
701 33 77
985 39 41
3196 100 7
3217 44 15
2563 78 45
4376 89 35
932 95 83
1429 59 49
2395 37 20
2066 89 45
3046 10 50
2706 14 49
17 17 54
3127 24 84
2935 31 54
3116 77 59
3837 9 52
3703 17 30
1064 34 71
972 24 94
4650 26 35
4501 25 62
4184 16 85
2641 28 68
3320 64 21
1751 81 15
4223 42 51
3593 33 92
2436 8 39
4216 12 80
3950 99 11
1151 54 53
444 27 75
3591 68 82
2533 12 9
2623 94 72
2910 79 43
3186 32 67
4376 31 63
550 96 80
4415 43 63
2355 38 52
3146 98 52
2646 96 15
1231 90 9
4394 55 69
715 43 4
4465 54 41
3009 4 84
2896 69 70
2630 63 18
1370 7 43
1442 47 78
4319 99 17
1648 21 48
1586 51 95
776 53 12
1454 67 34
1530 34 36
333 74 28
2155 16 64
397 23 82
3601 93 7
3448 31 93
1884 79 40
2105 67 9
2628 18 16
11 67 30
3065 72 65
2673 42 100
4657 98 83
625 97 45
2940 93 26
3563 51 40
2207 93 41
3007 1 60
1517 27 50
1504 48 62
3082 40 48
984 15 10
4409 12 15
1422 91 14
4306 51 99
1474 77 65
2372 12 60
1473 55 33
3116 95 30
14 1 61
3896 82 95
2838 41 13
833 57 29
4032 66 70
359 72 25
1448 17 46
3494 98 78
2673 74 7
1568 52 29
2211 34 25
2669 15 11
805 68 66
4068 25 64
4643 18 81
2928 17 21
3953 49 73
